2016-08-23,INTC,35.36,36.68%,25.87,35.93,3.27%,17.15,12.95,2.82,2.94,2.72,167.29B,19.06B,8.77701993704,7.91,Intel Corporation (INTC)
2016-08-23,JNJ,119.13,31.30%,89.90,126.07,2.98%,22.20,16.76,2.73,4.63,4.53,325.93B,17.69B,18.4245336348,13.44,Johnson &amp; Johnson (JNJ)
2016-08-23,JPM,65.80,9.83%,52.50,69.03,2.58%,11.15,10.60,2.62,2.70,1.05,237.64B,18.38B,12.9292709467,N/A,JPMorgan Chase &amp; Co. (JPM)
2016-08-23,KO,43.74,15.14%,37.84,47.13,2.83%,25.17,21.76,7.63,4.38,7.11,188.78B,9.23B,20.4528710726,17.78,The Coca-Cola Company (KO)
2016-08-23,MCD,115.42,26.54%,91.03,131.96,3.10%,22.04,18.80,2.26,3.91,153.35,98.50B,6.32B,15.585443038,13.33,McDonald's Corp. (MCD)
2016-08-23,MMM,179.07,30.10%,134.64,182.27,2.37%,22.86,20.28,2.45,3.61,9.13,108.23B,6.55B,16.5236641221,13.71,3M Company (MMM)
2016-08-23,MRK,63.55,24.19%,47.97,64.00,3.53%,34.86,16.55,2.69,4.44,4.04,175.73B,11.21B,15.6761819804,13.01,"Merck &amp; Co., Inc. (MRK)"
2016-08-23,MSFT,57.67,42.50%,40.39,58.50,2.60%,27.46,17.91,2.34,5.26,6.25,449.39B,33.32B,13.4870948379,14.37,Microsoft Corporation (MSFT)
2016-08-23,NKE,58.66,13.32%,51.48,68.19,1.19%,27.16,21.25,1.74,3.05,8.08,98.43B,3.10B,31.7516129032,18.40,"NIKE, Inc. (NKE)"
2016-08-23,PFE,34.84,11.17%,28.25,37.39,3.42%,30.89,13.15,2.12,4.06,3.38,211.33B,14.97B,14.1169004676,11.81,Pfizer Inc. (PFE)
2016-08-23,PG,86.85,26.94%,67.33,87.57,3.15%,23.51,20.68,3.31,3.57,4.14,231.78B,15.44B,15.0116580311,14.36,The Procter &amp; Gamble Company (PG)
